frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
325,169.8,176.9,5.2,22.9,7.1,923.2,839.7,881.5,0,0,1
328,169.1,176.2,6.5,22.9,7.1,937.5,840.2,888.9,0,0,1
331,172.1,172.4,4.9,23.6,0.3,914.0,846.7,880.4,0,0,1
334,169.9,170.0,8.4,22.1,0.1,917.6,852.6,885.1,0,0,1
337,171.1,172.5,6.8,17.3,1.4,923.5,846.0,884.8,0,0,1
340,168.7,171.9,8.2,21.6,3.2,925.9,827.0,876.5,0,0,1
343,168.7,177.3,9.0,20.4,8.6,934.9,839.3,887.1,0,0,1
346,170.2,167.7,10.6,20.3,2.5,925.7,839.1,882.4,0,0,1
349,167.9,175.4,12.6,19.5,7.5,925.0,832.8,878.9,0,0,1
352,168.6,176.0,11.3,21.0,7.4,931.6,832.3,882.0,0,0,1
355,166.2,166.9,11.9,19.2,0.7,941.7,835.8,888.8,0,0,1
358,166.8,172.5,11.9,18.5,5.7,933.7,831.2,882.5,0,0,1
361,165.8,179.9,13.3,17.2,14.1,927.6,826.5,877.0,0,0,1
364,170.0,174.8,7.0,24.7,4.8,930.8,833.7,882.2,0,0,1
367,167.2,175.5,9.7,24.6,8.3,925.7,822.3,874.0,0,0,1
370,166.6,171.5,9.1,14.8,4.9,923.4,840.4,881.9,0,0,1
373,165.4,165.9,5.3,19.2,0.5,929.3,852.6,891.0,0,0,1
376,163.0,173.2,8.7,21.7,10.2,934.9,839.4,887.1,0,0,1
379,166.2,177.4,8.2,25.4,11.2,939.4,840.2,889.8,0,0,1
382,171.6,176.8,6.1,25.8,5.2,927.9,836.3,882.1,0,0,1
385,168.4,177.3,8.6,26.2,8.9,922.7,818.3,870.5,0,0,1
388,166.6,171.5,9.8,16.8,4.9,939.1,849.5,894.3,0,0,1
391,162.0,169.3,14.4,16.7,7.3,936.5,843.4,890.0,0,0,1
394,162.1,172.7,15.2,14.6,10.6,939.6,830.7,885.2,0,0,1
397,157.1,178.5,13.2,16.1,21.4,929.6,853.9,891.8,1,1,1
400,158.9,153.9,8.2,11.3,5.0,946.2,866.1,906.2,0,1,1
