video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
19bad,84,1405.0657894736842,0.8714,0.2837,0.8713,0.5199,0.2,44.8,0.236,0,clean_catch,0
19bad,85,1421.7927631578948,0.8738,0.2836,0.8727,0.5207,0.3,44.7,0.238,0,clean_catch,0
19bad,86,1438.5197368421052,0.8764,0.2841,0.8738,0.5219,0.6,44.4,0.24,0,clean_catch,0
19bad,87,1455.2467105263158,0.8788,0.2841,0.875,0.5223,0.9,44.1,0.242,0,clean_catch,0
19bad,88,1471.9736842105262,0.88,0.2829,0.8758,0.5205,1.0,44.0,0.242,0,clean_catch,0
19bad,89,1488.7006578947369,0.8802,0.2815,0.8762,0.5189,1.0,44.0,0.242,0,clean_catch,0
19bad,90,1505.4276315789473,0.8814,0.2805,0.8772,0.5178,1.0,44.0,0.242,0,clean_catch,0
19bad,91,1522.154605263158,0.8837,0.2805,0.8779,0.5185,1.4,43.6,0.244,0,clean_catch,0
19bad,92,1538.8815789473683,0.8866,0.281,0.8779,0.5198,2.1,42.9,0.248,0,clean_catch,0
19bad,93,1555.608552631579,0.8894,0.2813,0.8776,0.5204,2.8,42.2,0.251,0,clean_catch,0
19bad,94,1572.3355263157896,0.8918,0.2809,0.8782,0.5198,3.3,41.7,0.253,0,clean_catch,0
19bad,95,1589.0625,0.8949,0.2801,0.8794,0.519,3.7,41.3,0.254,0,clean_catch,0
19bad,96,1605.7894736842106,0.8984,0.2819,0.8816,0.5178,4.1,40.9,0.253,0,clean_catch,0
19bad,97,1622.516447368421,0.9015,0.2853,0.8842,0.5175,4.3,40.7,0.25,0,clean_catch,0
19bad,98,1639.2434210526317,0.9033,0.2886,0.886,0.5189,4.3,40.7,0.248,0,clean_catch,0
19bad,99,1655.970394736842,0.9038,0.2922,0.8878,0.5209,4.0,41.0,0.245,0,clean_catch,0
19bad,100,1672.6973684210527,0.9038,0.2929,0.8898,0.523,3.5,41.5,0.244,0,clean_catch,0
19bad,101,1689.4243421052631,0.9045,0.2918,0.891,0.5245,3.3,41.7,0.246,0,clean_catch,0
19bad,102,1706.1513157894738,0.9058,0.2921,0.892,0.5245,3.4,41.6,0.246,0,clean_catch,0
19bad,103,1722.8782894736842,0.9087,0.294,0.8927,0.5238,4.0,41.0,0.246,0,clean_catch,0
19bad,104,1739.6052631578948,0.9113,0.2936,0.8933,0.5233,4.5,40.5,0.248,0,clean_catch,0
19bad,105,1756.3322368421052,0.9139,0.294,0.8944,0.5233,4.9,40.1,0.249,0,clean_catch,0
19bad,106,1773.0592105263158,0.9156,0.2929,0.8957,0.5233,4.9,40.1,0.25,0,clean_catch,0
19bad,107,1789.7861842105262,0.9165,0.2921,0.8969,0.5238,4.8,40.2,0.251,0,clean_catch,0
19bad,108,1806.5131578947369,0.9171,0.2926,0.898,0.5246,4.7,40.3,0.251,0,clean_catch,0
19bad,109,1823.2401315789473,0.9184,0.2948,0.899,0.5259,4.8,40.2,0.251,0,clean_catch,0
19bad,110,1839.967105263158,0.9198,0.2955,0.9008,0.5266,4.7,40.3,0.25,0,clean_catch,0
