video_id,view,label,n_frames_total,n_lift_phase_frames,lift_phase_duration_ms,used_full_video_fallback,mean_spine_angle,max_spine_angle,min_spine_angle,std_spine_angle,range_spine_angle,max_abs_spine_angle,mean_lean_deviation,max_lean_deviation,mean_postural_deviation,max_postural_deviation,shoulder_asymmetry_rate,low_visibility_rate
32good,front,0,446,96,9958.0,False,2.0188839285717854,9.545714285714666,0.2314285714289781,2.4680629280218165,9.314285714285688,9.545714285714666,42.98111607142855,44.768571428571406,0.17999791666666654,0.2173142857142856,0.0,0.0
33bad,front,1,145,40,1954.0,False,1.0728571428571414,2.374285714285719,0.3171428571428691,0.519059649690868,2.05714285714285,2.374285714285719,43.92714285714284,44.68285714285712,0.1950235714285713,0.2247999999999999,0.0,0.0
34good,front,0,333,72,7700.0,False,1.0347619047619037,2.4571428571428555,0.1571428571428441,0.6510428541428288,2.3000000000000114,2.4571428571428555,43.965238095238064,44.84285714285713,0.20952817460317444,0.238542857142857,0.0,0.0
35bad,front,1,262,43,5500.0,False,-70.65977549582203,151.11588744588738,-177.33786435786442,67.46383972947831,328.4537518037518,177.33786435786442,114.17551950065435,212.58857142857133,0.07450108728480813,0.1672987012987012,0.3023255813953488,0.27906976744186046
36good,front,0,416,102,11301.0,False,1.015140056022409,3.3628571428571377,0.1057142857142992,0.7112120078409446,3.2571428571428385,3.3628571428571377,43.984859943977575,44.89428571428569,0.17833991596638643,0.2251142857142856,0.0,0.0
37bad,front,1,218,44,2150.0,False,1.459350649350648,3.125714285714281,0.3028571428571354,0.6414343394471984,2.8228571428571456,3.125714285714281,43.540649350649325,44.69714285714284,0.1908279220779219,0.2192857142857141,0.0,0.0
38good,front,0,342,84,8450.0,False,1.321462585034012,3.334285714285727,0.1571428571428441,0.8039004367947904,3.177142857142883,3.334285714285727,43.67853741496596,44.84285714285712,0.18721836734693864,0.2207142857142855,0.0,0.0
40bad,front,1,119,18,850.0,False,1.1674603174603153,2.037142857142868,0.5314285714285631,0.3662170112010799,1.5057142857143049,2.037142857142868,43.83253968253966,44.46857142857141,0.19266190476190465,0.217742857142857,0.0,0.0
41good,front,0,301,53,9409.0,False,0.9956334231805928,2.5200000000000102,0.1714285714285779,0.6793707504517815,2.3485714285714323,2.5200000000000102,44.004366576819386,44.82857142857141,0.20926684636118584,0.288942857142857,0.0,0.0
42good,front,0,395,83,7813.0,False,0.9367297762474713,2.425714285713866,0.1857142857138569,0.5925103107948849,2.240000000000009,2.425714285713866,44.063270223752134,44.81428571428569,0.19021428571428556,0.2239142857142856,0.0,0.0
44good,front,0,525,113,16851.0,False,-7.20966227198861,36.64448979591836,-178.4971428571428,31.460008487003705,215.14163265306115,178.4971428571428,52.89234242369512,223.4971428571428,0.1680317319848292,0.2404571428571427,0.07079646017699115,0.008849557522123894
45bad,front,1,182,32,3350.0,False,3.483526785714286,9.925714285714292,0.4799999999999897,3.0322765978389405,9.445714285714303,9.925714285714292,41.346339285714265,44.519999999999975,0.17547767857142843,0.2309999999999999,0.21875,0.0
46good,front,0,326,70,9150.0,False,1.2090408163265292,3.36571428571429,0.2142857142857224,0.8170285692792826,3.1514285714285677,3.36571428571429,43.79095918367345,44.78571428571426,0.17117061224489785,0.2212285714285713,0.0,0.0
47good,front,0,470,137,18251.0,False,2.856402502607037,30.90857142857141,-28.248928571428564,5.677824915479358,59.15749999999997,30.90857142857141,42.143597497393095,73.24892857142854,0.19595912408759114,0.2634285714285713,0.06569343065693431,0.0072992700729927005
48good,front,0,368,107,11500.0,False,2.354566088117666,4.911428571428814,0.1914285714287302,1.6201268850761454,4.720000000000084,4.911428571428814,42.64543391188249,44.80857142857141,0.20790413885180226,0.2603142857142856,0.0,0.0
