video_id,lift_id,label,max_deviation,avg_deviation,path_smoothness,peak_vertical_velocity,time_to_peak_velocity,total_displacement,jerk_like_movements
25bad,25bad,1,0.0003119154542357,0.00010699788283728724,2.450008617716325e-08,1.1266912008611231e-06,0.7705677867902665,0.0014037305859560274,342
26good,26good,0,0.0003543914694561,0.00018476265143131776,2.0536214634002978e-08,1.3936901792104182e-06,0.9397884458909682,0.0019338473538186146,477
27bad,27bad,1,0.0003679132917649,9.891568044856812e-05,3.426577813437597e-08,1.2006564048247543e-06,0.001336898395721925,0.0015753308418537725,310
28good,28good,0,0.0003365008867166,0.0001849955859761783,2.718981370153332e-08,1.4765575570677307e-06,0.8771760154738878,0.0020459124100263206,381
29bad,29bad,1,0.0003716657367207,9.431064224518241e-05,4.190449290887541e-08,3.521647273459135e-06,0.0009293680297397769,0.0022671820090837853,417
2good,2good,0,1.156711751792569e-05,8.947121207985807e-07,4.2497064728516245e-09,2.941885162495629e-07,0.9956521739130435,9.115392406226189e-05,214
30good,30good,0,0.0004355054827375,0.00022147873067013884,5.882926336954045e-08,2.5855050930815458e-06,0.12199312714776632,0.0031229310403726495,439
31bad,31bad,1,0.0003785543383903,8.592516272859983e-05,2.0053288509126567e-08,1.1461240185731531e-06,0.7877507919746568,0.0014188804592883556,378
32good,32good,0,0.0003425471483512,0.00017503843570383998,3.667402674044123e-08,1.7886918008738308e-06,0.07928197456993269,0.0024585673442217375,481
33bad,33bad,1,0.0003218318811501,0.0001260010283368349,5.2164487395014665e-08,2.707212986393364e-06,0.0023094688221709007,0.0013914198205504428,152
34good,34good,0,0.0003316597013577,0.00018523100945236242,3.0630298479601807e-08,1.2595769608705549e-06,0.8545636910732196,0.0022241678844158535,410
35bad,35bad,1,0.0002490337933068,0.00013778797898448002,3.199971178953009e-08,9.640052593199664e-07,0.4217335058214748,0.0016888428706621648,259
36good,36good,0,0.0002842589811536,0.00017260599102615897,2.1212888674543813e-08,1.2457644673634067e-06,0.917401764234162,0.002132749566105849,474
37bad,37bad,1,0.0003725620996742,0.0001074434636755891,2.6752414773766166e-08,1.0692184808816258e-06,0.8039816232771823,0.0013840418705152186,267
38good,38good,0,0.0003184002393439,0.00017721217156027884,2.496509204647041e-08,1.39309794086797e-06,0.9024390243902439,0.0018216486451674086,368
40bad,40bad,1,0.0001765639806329,9.015994904678027e-05,5.6531815330249355e-08,1.129905137320176e-06,0.8007380073800738,0.0008515553726047445,105
41good,41good,0,0.0006844601701642,0.00019697216457342264,7.32896910152647e-08,8.778787492320524e-06,0.0024125452352231603,0.0030794915776465636,262
42good,42good,0,0.0003944728513875,0.0001955589553737207,3.4013559170911374e-08,1.7100460319603657e-06,0.0008453085376162299,0.0022006921458106203,451
43good,43good,0,0.000417858525494,0.00019814041840951778,3.218214085194819e-08,1.6630484966261034e-06,0.8666666666666667,0.0020496537598084274,269
44good,44good,0,0.0005416259683431,0.0001878850994105549,3.199580875969598e-08,2.2922454374166964e-06,0.9412144702842378,0.00326196245869075,568
45bad,45bad,1,0.000278802311093,0.00012497660706017614,2.772854715466443e-08,8.819649111502007e-07,0.6185185185185185,0.001295244214564611,185
46good,46good,0,0.0003731512599147,0.00015289692015590267,2.705198947323746e-08,1.259606951131112e-06,0.7859358841778697,0.0022074443839641355,307
47good,47good,0,0.0004458437087527,0.00019100111129532603,2.423588862037237e-08,1.58255028868086e-06,0.899644128113879,0.002857004297821595,494
48good,48good,0,0.0003913017977517,0.00019590340033016432,2.7096029005136645e-08,1.4587981821658248e-06,0.912962962962963,0.002308562752909374,359
49good,49good,0,0.0003948045018698,0.0002262206696151965,3.463598280138422e-08,1.4905989848629615e-06,0.9696673189823874,0.002315475153608744,340
50good,50good,0,0.0004299695360976,0.00022680484118559237,5.3979721154048166e-08,4.693793292544512e-06,0.0016515276630883566,0.003304913485275939,404
51good,51good,0,0.0003447555688324,0.00019016176693502032,2.8581796114563408e-08,1.51001553390982e-06,0.0009737098344693282,0.002037518783851773,322
52good,52good,0,4.144919527197457e-05,1.838956181208192e-06,9.457483384691967e-09,7.265519412405236e-07,0.13956466069142126,0.00024150381873052314,247
53bad,53bad,1,0.0002543750248879,9.936009398810954e-06,3.335092071037798e-08,5.3476147659326675e-06,0.003929273084479371,0.0005576509587711054,152
54bad,54bad,1,9.562383787842014e-06,1.400037580576388e-06,2.8157274470562484e-09,1.1002330176158864e-07,0.0016611295681063123,6.335292930065822e-05,191
55good,55good,0,0.0002539624486598,0.00013072888107749011,7.865993190085775e-08,3.2414379940275328e-06,0.4274193548387097,0.0016422011879977212,234
56good,56good,0,0.0002389325873906,0.00012991761398148524,5.6741508488139994e-08,4.249028914432129e-06,0.9570815450643777,0.0018054109584453044,252
57bad,57bad,1,0.00016544857051,0.00010496250599470005,6.075437177792358e-08,3.8757661125653455e-06,0.39528795811518325,0.0012272905274639616,125
59bad,59bad,1,0.0001822514082082,6.620126360820768e-05,4.188594421330667e-08,2.0942797426036283e-06,0.01098901098901099,0.0016125279405617113,367
5good,5good,0,0.0004189122141918,0.00022732564655820282,4.6504397891572787e-08,2.147359780876746e-06,0.0010845986984815619,0.0027856007973548536,338
60good,60good,0,0.0002241678762097,0.00012676330400765938,8.34972785985439e-08,1.9190097309549218e-06,0.21636363636363637,0.001848281553416581,207
61good,61good,0,2.2946011030115037e-05,3.107767151165239e-06,2.445884732505481e-09,2.438366891275139e-07,0.0013831258644536654,0.00010139103755126007,199
62bad,62bad,1,2.224943668550288e-05,1.7897744115176937e-06,3.721254226022484e-09,1.0949195786847535e-07,0.9914163090128756,6.704685867230326e-05,116
63good,63good,0,5.650947937753505e-06,7.314141337307438e-07,2.46951750157056e-09,2.049176133957678e-07,0.0019569471624266144,4.458508917584836e-05,148
64good,64good,0,4.797129306474691e-05,1.0041256259844485e-05,2.974620224306861e-09,1.7619527109901058e-07,0.8628808864265928,0.00010717520181943234,198
6good,6good,0,0.000495186591104,0.00015715422747386703,5.0166059489162066e-08,1.4813729058330558e-06,0.03229974160206718,0.002853585903564012,244
7good,7good,0,0.0003330408555134,0.00017636219649677044,2.5149650206009895e-08,1.3359769464264896e-06,0.844106463878327,0.002045773517424108,391
8good,8good,0,0.0003407190946269,0.00018293076826245508,2.0968896611413343e-08,1.326865676849156e-06,0.857889237199582,0.0018444853842825978,338
9bad,9bad,1,0.0003742918233778,9.528427342499368e-05,2.735010567853284e-08,9.475473284544472e-07,0.7303370786516854,0.0012544490562983002,254
